Character_ID,Character_Name,Image_URL,Species,House,House_URL,Status,Lore,Parents,Siblings,Children
CH001,Accident,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Accident.png,Not Available,Not Available,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/Unknown_Family.png,Not Available,"A nameless soul, perhaps a victim of misfortune or circumstance, whose tale remains untold amidst the chronicles of Westeros.",Not Available,Not Available,Not Available
CH002,Aemon Targaryen,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Aemon_Targaeryn.png,Human,Night's Watch,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/Unknown_Family.png,Dead,"Born Aemon of House Targaryen, he cast off crown and claim to don the black of the Night’s Watch. A scholar, a healer, and a dragon in exile, Maester Aemon served at Castle Black until his bones bent with age and his eyes faded to blindness.
He counseled kings and crows alike, his words laced with wisdom born of sorrow. In fire and blood, he saw prophecy—visions of his kin's fall, and of the prince that was promised.
When the cold wind howled beyond the Wall, he remained a beacon in the dark, whispering truths forgotten even by fire itself. He died far from home, a dragon who chose duty over power, and whose watch ended only in death.","King Maekar I Targaryen, Dyanna Dayne",King Aegon V Targaryen,None
CH003,Alliser Thorne,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Allister_Thorne.png,Human,House Thorne,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/House_Thorne.png,Dead,"Hard as the frost of the Wall and bitter as the wind atop it, Ser Alliser Thorne bled black long before he donned the cloak. Once a knight of King’s Landing, he was cast to the Wall for backing the losing side of Robert’s Rebellion.
He served as master-at-arms at Castle Black, where he forged young boys into hardened men with cruelty sharp as iron. His hatred for Jon Snow burned like a dying ember—dim but persistent.
When the Lord Commander broke oaths and welcomed wildlings, it was Thorne who called him traitor and led the blade. Yet the realm he claimed to protect crumbled under the very darkness Jon sought to stop. Thorne died by the rope—bitter, defiant, and unrepentant.",Not Available,Not Available,None
CH004,Alton Lannister,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Alton_Lannister.png,Human,House Lannister,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/House_Lannister.png,Dead,"A young noble of House Lannister, eager to prove his worth. Captured during the war, his fate intertwines tragically with that of Jaime Lannister in the Stark camp.",Not Available,Not Available,Not Available
CH005,Amory Lorch,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Amory_Lorch.png,Human,House Lorch,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/House_Lorch.png,Dead,"A brute clad in steel, Ser Amory Lorch served House Lannister as a sword, not a man. His reputation dripped with blood, from the sack of Elia Martell’s children to countless nameless dead strewn across the Riverlands.
He was neither knight nor monster—only a cruel instrument, loyal to coin and command.
At Harrenhal, he hunted prisoners and presided over the tortures that turned the blackened fortress into a place of dread. But in the end, he was undone not by battle, but by a shadow—Arya’s whispered vengeance, passed through the lips of death itself.",Not Available,Not Available,Not Available
CH006,Areo Hotah,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Areo_Hotah.png,Human,Not Available,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/Unknown_Family.png,Dead,"The stoic and formidable captain of Prince Doran Martell's guard in Dorne. Wielding a longaxe, he is ever-vigilant, embodying unwavering loyalty and silent strength.",Not Available,Not Available,Not Available
CH007,Arthur Dayne,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Arthur_Dayne.png,Human,House Dayne,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/House_Dayne.png,Dead,"They called him the Sword of the Morning, and he bore the blade to match—a greatsword named Dawn, pale as moonlight, forged from a star.
Ser Arthur Dayne of House Dayne was a legend clad in silver plate, the most honorable knight of his age and the deadliest by far.
At the Tower of Joy, he stood with only two others against six—and nearly won. He fell to young Ned Stark and the northern blades, though not without the weight of treachery at his back.
Even in death, tales of Dayne’s prowess echoed through courts and camps alike. He was the sword Westeros never again would wield—shining, gallant, and gone too soon.",Beric Dayne,"Ashara Dayne, Allyria Dayne",None
CH008,Arya Stark,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Arya.png,Human,House Stark,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/House_Stark.png,Alive,"Arya of House Stark, the wolf girl, the water dancer, the one who whispered names into the dark. Born to nobility, she cast aside silks and stitches for steel.
She wandered through war, through lands of dust and death, forging herself in the fires of loss. From the Hound to the House of Black and White, every step stripped her down and built her anew.
She became No One, but remembered who she was. Vengeance sang in her blood, and death bowed to her will.
When the Long Night came, it was Arya—child of Winterfell—who struck the blow that legends would never forget. But she did not stay to be remembered. She sailed west, toward the edge of maps and the unknown, where only wolves dare tread.","Eddard Stark, Catelyn Stark","Robb, Sansa, Bran, Rickon",None
CH009,Astapor slaver,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Astapor_Slaver.png,Human,Not Available,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/Unknown_Family.png,Dead,"A representative of the cruel masters of Astapor, known for their inhumane training of the Unsullied. Their reign ends with Daenerys Targaryen's fiery justice.",Not Available,Not Available,Not Available
CH010,Astapor soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Astapor_Soldier.png,Human,Not Available,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/Unknown_Family.png,Not Available,"A member of the military force enforcing the slavers' will in Astapor, ultimately overthrown during Daenerys's liberation of the city.​",Not Available,Not Available,Not Available
CH011,Axell Florent,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Axell_Florent.png,Human,House Florent,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/House_Florent.png,Dead,"An ambitious noble from House Florent, uncle to Queen Selyse. He seeks influence in Stannis Baratheon's court, often clashing with Davos Seaworth.",Not Available,Alester Florent,Not Available
